15-Jun-2020 14:08:09, inb, santa paws token -, 7
15-Jun-2020 17:55:13, inb, crown of seasons -, 38
20-Apr-2020 21:07:25, inb, sameowrai's breastplate token -, 3
20-Apr-2020 21:07:25, nib, sameowrai's cata-nya token -, 32
20-Apr-2020 21:16:32, inb, sameowarais gauntlets, 1
20-Apr-2020 21:16:32, inb, sameowarais bow, 980
20-Apr-2020 21:16:32, inb, blue short hair, 890
20-Apr-2020 21:16:32, nis, sameowarais helmet past 24 hr, 6
21-Apr-2020 05:15:24, inb, wreath crown, 1
21-Apr-2020 22:33:21, inb, 10x blue short hair tokens, 1
21-Apr-2020 22:33:21, inb, 5x samurai cat helmets, 7
21-Apr-2020 22:33:21, inb, 5x samurai cat gauntlet, 1
21-Apr-2020 22:33:21, inb, 5x samurai faulds, 3
21-Apr-2020 22:33:21, nib, 1x wreath crowns 1m oc past, 24
21-Apr-2020 22:33:21, inb, 2x wreath crowns, 1
22-Apr-2020 05:14:37, ins, santa paws token - , 7
22-Apr-2020 05:14:37, inb, christmas jumper token (party hat) -, 5
22-Apr-2020 06:39:12, inb, sameowrai's helmet, 5968
22-Apr-2020 22:37:47, nis, 1x santa paws, 7
13-Apr-2020 14:34:05, inb, meow pieces. hat didn't buy for, 100
13-Apr-2020 17:22:12, nib, sameowrai's bow token -, 651
13-Apr-2020 17:22:12, nib, blue shorthair fur token, 510
13-Apr-2020 17:22:12, inb, sameowrai's cata-nya token -, 29
13-Apr-2020 17:22:12, nib, sameowrai's cata-nya token -, 29
13-Apr-2020 17:22:12, inb, sameowrai's faulds token -, 1
14-Apr-2020 02:29:18, inb, sameowrai's helmet token -, 6
14-Apr-2020 02:29:18, inb, sameowrai's faulds token -, 2
14-Apr-2020 02:29:18, inb, sameowrai's guantlets token -, 656
14-Apr-2020 02:29:18, inb, sameorai's bow token -, 604
14-Apr-2020 02:29:18, ins, sameowrai's breastplate token -, 6
14-Apr-2020 02:29:18, inb, santa paws token -, 6
14-Apr-2020 06:35:21, inb, cloak of seasons 80 000, 000
14-Apr-2020 06:35:21, inb, chest of seasons 23 995, 000
14-Apr-2020 06:35:21, inb, bottoms of seasons 19 977, 000
14-Apr-2020 10:35:49, nis,  a few catanya tokens, 40
14-Apr-2020 22:05:07, inb, 20x samurai cat helmets, 5
14-Apr-2020 22:05:07, inb, 20x gloves, 700
14-Apr-2020 22:05:07, inb, 20x blue short hair, 700
14-Apr-2020 22:05:07, ins, wreath token, 1
15-Apr-2020 02:42:36, inb, 10x cat samurai helmets, 5
15-Apr-2020 02:42:36, inb, 20x cat gloves, 790
15-Apr-2020 02:42:36, nib, 10x blue short hair, 560
31-May-2020 22:31:22, ins, plague, 438
31-May-2020 22:59:38, nis, christmas tree hat, 98
01-Jun-2020 01:41:37, inb, plague 450m, 1
01-Jun-2020 13:20:00, inb, paws from 7.082.500 -, 7
28-Mar-2020 16:02:14, nib, christmas jumper (party hat) token, 6
29-Mar-2020 06:27:33, inb, keg companion pet token, 34
29-Mar-2020 20:46:50, inb, pet of seasons, 110
29-Mar-2020 21:03:40, inb, crown of seasons, 14
30-Mar-2020 02:46:36, nib, beach armour override token, 4
31-Mar-2020 19:03:55, inb, santa paws token -, 7
31-Mar-2020 19:03:55, inb, christmas jumper token (party hat) -, 7
31-Mar-2020 21:41:13, inb, clover 2h sword token, 50
31-Mar-2020 21:41:13, inb, clover staff token, 63
31-Mar-2020 21:41:13, inb, rainbow aura, 500
22-Mar-2020 17:12:15, inb, keg, 34
22-Mar-2020 17:22:12, nis, keg, 34
22-Mar-2020 20:14:38, nib, christmas jumper token (party hat) -, 7
22-Mar-2020 20:14:38, inb, santa paws token -, 6
23-Mar-2020 15:04:40, inb, santa paws token -, 7
24-Mar-2020 18:22:23, nib, cloak of season, 70
24-Mar-2020 21:25:40, nis, tree hat, 73
25-Mar-2020 02:30:28, inb, gem cape token, 825
15-Jun-2020 18:16:49, inb, christmas jumper token (party hat) -, 6
15-Jun-2020 18:16:49, inb, santa paws token -, 7
15-Jun-2020 18:53:58, nis, crown of season, 38
15-Jun-2020 19:27:19, inb, cth, 97
15-Jun-2020 19:27:19, inb, gloves of season, 17
15-Jun-2020 19:27:19, nis, conga, 4
15-Jun-2020 19:27:19, nis, bottoms of season, 37
15-Jun-2020 19:36:08, inb, crown of seasons 34,749,988, 1
15-Jun-2020 21:44:32, nib, plague doc walk, 450
16-Jun-2020 00:02:13, inb, sameowrai breastplate, 5
20-Jun-2020 20:32:05, ins, 1x catyana, 37
20-Jun-2020 20:32:05, inb, clover parasol, 65
20-Jun-2020 21:22:06, inb, christmas tree hat x6, 100
20-Jun-2020 21:28:32, nis, cth, 99
20-Jun-2020 21:28:32, nib, cth, 97
20-Jun-2020 21:28:32, nis, conga, 4
20-Jun-2020 22:01:27, inb, seahorse balloon, 7
20-Jun-2020 22:01:27, inb, starfish balloon, 8
20-Jun-2020 22:01:27, inb, pufferfish balloon, 4
20-Jun-2020 22:01:27, ins, mimic plushies, 25
20-Jun-2020 22:13:22, inb, seahorse balloon, 7
20-Jun-2020 22:13:22, inb, starfish balloon, 10
20-Jun-2020 22:13:22, inb, pufferfish balloon, 5
20-Jun-2020 22:23:55, inb, x 12 pufferfish balloons, 5
20-Jun-2020 22:23:55, inb, x 12 seahorse balloons, 7
20-Jun-2020 22:23:55, inb, x 12 starfish balloons , 9
20-Jun-2020 23:20:08, inb, christmas jumper & glacial shield bow... 5m flat and, 4980
09-Apr-2020 20:53:51, inb, sameowrai's helmet token, 6
09-Apr-2020 20:53:51, inb, sameowrai's tabi token, 2
09-Apr-2020 20:53:51, inb, sameowrai's breastplate token, 5
09-Apr-2020 20:53:51, inb, sameowrai's faulds token, 3
09-Apr-2020 20:53:51, inb, sameowrai's gauntlets token, 1
09-Apr-2020 20:53:51, inb, sameowrai's bow token, 1
09-Apr-2020 20:53:51, inb, blue shorthair fur token, 1
10-Apr-2020 17:00:44, inb, blue shorthair fur token -, 530
10-Apr-2020 17:00:44, inb, sameowrai's gauntlets token -, 1052
10-Apr-2020 17:00:44, inb, sameowrai's helmet token -, 4
10-Apr-2020 17:00:44, inb, sameowrai's tabi token -, 1
10-Apr-2020 17:00:44, inb, sameowrai cata-nya token -, 22
10-Apr-2020 21:06:58, inb, santa paws, 6
10-Apr-2020 21:06:58, inb, christmas jumper (party hat), 6
11-Apr-2020 04:09:11, inb, 10x cat katanas, 17
11-Apr-2020 04:09:11, inb, wreath crown, 1
11-Apr-2020 04:09:11, ins, wreath crown 1, 5
12-Apr-2020 09:30:29, nis, sameowrai's breastplate, 7
13-Apr-2020 08:01:41, inb, 10 catanyas, 29
13-Apr-2020 12:19:26, nis, 10x catanyas, 40
06-Apr-2020 16:18:51, nis, plague walk token, 373
07-Apr-2020 23:03:36, ins, shadow gem necklace token, 4
07-Apr-2020 23:03:36, ins, shadow gem crown token, 5
07-Apr-2020 23:11:07, inb, santa paws token -, 7
07-Apr-2020 23:11:07, inb, christmas jumper (party hat) token -, 6
08-Apr-2020 02:31:57, nis, 60x buddy pets 2850k each past, 5
09-Apr-2020 04:42:12, inb, sameowari's tabi token, 7300
09-Apr-2020 17:07:46, inb, santa paws token, 6
09-Apr-2020 18:44:25, inb, hot sand walk, 14
09-Apr-2020 18:44:25, inb, another one, 16
09-Apr-2020 19:45:38, inb, blue short hair, 1
09-Apr-2020 19:45:38, inb, sam bow, 1
09-Apr-2020 19:45:38, inb, sam gauntlets, 1
09-Apr-2020 19:45:38, inb, sam faulds, 3
09-Apr-2020 19:45:38, inb, sam breastplaate, 6
09-Apr-2020 19:45:38, inb, sam tabi, 3
09-Apr-2020 19:45:38, inb, sam cata-nya, 28
30-May-2020 22:01:57, inb, plague, 400
30-May-2020 23:02:33, inb, plague walk 2x, 400
31-May-2020 10:48:23, inb, plague walk, 420
31-May-2020 11:05:41, nis, plague walk, 439
31-May-2020 13:21:37, inb, crown of season, 19
31-May-2020 13:21:37, nis, crab hat, 2
31-May-2020 13:21:37, nis, christmas tree hat, 98
31-May-2020 13:21:37, nis, fish mask, 2
31-May-2020 13:21:37, inb, rubber turkey, 0
31-May-2020 13:21:37, ins, offhanded rubber turkey, 1
31-May-2020 15:48:22, inb, cth, 98
15-Apr-2020 16:31:19, inb, santa paws token -, 6
15-Apr-2020 16:31:19, inb, sameowrai's breastplate token -, 3
15-Apr-2020 16:31:19, inb, sameowrai's helmet token -, 5
15-Apr-2020 21:13:38, nib, sameowrai's breastplate token, 3
15-Apr-2020 22:06:03, inb, 2x wreath crowns, 1
15-Apr-2020 22:06:03, inb, 20x samurai cat gauntlets, 832
15-Apr-2020 22:06:03, inb, 20x blue short hair token, 695
15-Apr-2020 22:06:03, ins, 5x santa paws, 6
16-Apr-2020 05:02:53, inb, samurai cat gauntlet, 935
16-Apr-2020 05:02:53, inb, blue short hair token, 762
16-Apr-2020 15:53:21, inb, 2x hot sand walks, 11
16-Apr-2020 15:53:21, inb, 2x conga dance, 3
16-Apr-2020 15:53:21, inb, 1x sameowrai's faulds, 2
16-Apr-2020 15:53:21, inb, 1x sameowrai's brestplate, 4
16-Apr-2020 15:53:21, inb, 2x crown of seasons, 14
16-Apr-2020 15:53:21, inb, 1x crab hat (t), 2
16-Apr-2020 15:53:21, inb, 1x fish mash, 1
16-Apr-2020 16:26:08, inb, sameowrai's cata-nya token -, 34
16-Apr-2020 16:26:08, inb, santa paws token -, 6
16-Apr-2020 21:22:51, inb, samurai gauntlets, 1
16-Apr-2020 21:22:51, inb, blue short hairs, 850
16-Apr-2020 21:40:09, ins, samurai gauntlets, 400
04-May-2020 21:40:11, nib, 1 rainbow cape, 25
05-May-2020 16:05:31, inb, crown of seasons, 13
06-May-2020 14:40:22, ins, pet of seasons token, 91
07-May-2020 04:14:24, inb, wreath crown, 1
07-May-2020 04:14:24, inb, samurai cat bow, 1
07-May-2020 04:14:24, inb, samurai cat helmet, 5
